lemma,tag,POS
ercisco,1,VERB
controversia,1,NOUN
pristinus,1,ADJ
convenio,1,VERB
lex,1,NOUN
satisdatio,1,NOUN
sum,0,NOUN
tabula,1,NOUN
mandatum,1,NOUN
vicesimus,0,ADJ
aduersus,0,NOUN
heres,1,NOUN
nolo,1,VERB
fideicommissum,1,NOUN
mitto,1,VERB
nuntio,0,VERB
satis,0,NOUN
imprudens,1,ADJ
committo,1,VERB
hereditarius,1,ADJ
loco,1,VERB
intercedo,1,VERB
emptum,1,NOUN
fides,1,NOUN
filia,0,NOUN
reus,1,NOUN
affero,1,VERB
tres,0,NOUN
praedico,0,VERB
appello,1,VERB
repello,1,VERB
contractus,1,NOUN
negotium,1,NOUN
saltus,0,NOUN
adeo,1,VERB
noto,1,VERB
manus,1,NOUN
contentus,1,NOUN
civitas,1,NOUN
impedio,1,VERB
caput,1,NOUN
plenus,1,NOUN
conatus,0,NOUN
addo,1,VERB
detineo,1,VERB
finio,1,VERB
pubertas,1,NOUN
recipio,1,VERB
redhibeo,1,VERB
emancipo,1,VERB
voluntas,1,NOUN
facultas,1,NOUN
onus,1,NOUN
praedium,1,NOUN
codicillus,1,NOUN
oportet,1,NOUN
defensio,1,NOUN
satisdo,1,VERB
colonus,1,NOUN
amplus,0,NOUN
ostendo,1,VERB
habeo,1,VERB
obligatio,1,NOUN
FALSO,0,VERB
infamia,1,NOUN
credo,1,VERB
ludus,0,NOUN
abeo,0,VERB
pervenio,1,VERB
compello,1,VERB
pensio,1,NOUN
paternus,1,NOUN
mos,1,NOUN
uetus,1,NOUN
fugitivus,1,ADJ
uoluntas,0,NOUN
respondeo,1,VERB
decerno,1,VERB
iustus,1,NOUN
patior,1,VERB
decedo,1,VERB
gladius,1,NOUN
propositum,1,NOUN
constitutio,1,NOUN
vir,1,NOUN
concurro,1,VERB
absum,0,VERB
invenio,0,VERB
fundus,1,NOUN
disputatio,1,NOUN
dies,1,NOUN
responsum,1,NOUN
bonum,1,NOUN
duodecimus,1,NOUN
opera,1,NOUN
seruo,1,VERB
do,1,NOUN
verus,1,ADJ
paro,1,VERB
sententia,1,NOUN
emo,1,VERB
coepio,0,VERB
nummus,1,NOUN
alo,1,VERB
alienus,1,NOUN
donatio,1,NOUN
aditus,1,NOUN
intestatus,1,NOUN
divus,1,ADJ
defungor,1,VERB
Aquilia,0,NOUN
ago,1,VERB
denego,1,VERB
sumptus,1,NOUN
vis,1,NOUN
testator,1,VERB
quaestor,1,VERB
magistratus,1,NOUN
proprius,0,NOUN
mando,1,VERB
iter,1,NOUN
sto,1,VERB
absens,1,ADJ
excipio,1,VERB
locatio,1,NOUN
stipendium,1,NOUN
ciuitas,1,NOUN
praesens,1,ADJ
annus,0,NOUN
provincialis,1,ADJ
reddo,1,VERB
aestimo,1,VERB
incido,1,VERB
certe,0,NOUN
minuo,1,VERB
male,0,NOUN
cautio,1,NOUN
locuples,1,NOUN
ancilla,?,NOUN
cognosco,1,VERB
actor,1,VERB
epistula,1,NOUN
desum,0,NOUN
nemo,0,VERB
uerus,1,NOUN
moveo,1,VERB
voco,1,VERB
hereditas,1,NOUN
conficio,1,VERB
succedo,1,VERB
impedimentum,1,NOUN
studeo,0,VERB
quantitas,1,NOUN
ordo,1,VERB
recuso,1,VERB
decurio,1,VERB
dominium,1,NOUN
solutio,1,NOUN
liberus,1,NOUN
paucus,0,NOUN
quaero,1,VERB
divido,1,VERB
ceterus,0,NOUN
dux,1,NOUN
arbiter,1,NOUN
deduco,1,VERB
divortium,1,NOUN
ratus,1,ADJ
vicinus,1,ADJ
consul,1,NOUN
falsus,1,NOUN
enitor,0,VERB
verso,1,VERB
invitus,1,NOUN
soluo,1,VERB
fructus,1,NOUN
officium,1,NOUN
uicesimus,0,NOUN
suspicio,0,VERB
pignorium,1,NOUN
aio,1,VERB
licentia,1,NOUN
quintus,0,NOUN
iubeo,1,VERB
hostis,1,NOUN
probo,1,VERB
possum,0,VERB
universus,1,NOUN
iudicium,1,NOUN
certus,1,NOUN
occupo,1,VERB
stipulatus,1,NOUN
princeps,1,NOUN
dos,1,NOUN
proprietas,1,NOUN
metus,1,NOUN
quaeso,0,VERB
casus,1,NOUN
utilis,1,ADJ
communis,1,NOUN
bonus,1,ADJ
malo,1,VERB
contraho,1,VERB
inopia,1,NOUN
sequor,1,VERB
sacramentum,1,NOUN
adhibeo,1,VERB
regula,1,NOUN
curator,1,VERB
paeniteo,1,VERB
placeo,1,VERB
persona,1,NOUN
prohibeo,1,VERB
comparo,1,VERB
admitto,1,VERB
descendo,1,VERB
capio,1,VERB
substitutio,1,NOUN
fideicommissarius,1,ADJ
superus,0,NOUN
obligo,1,VERB
consulo,1,VERB
cado,1,VERB
aestimatio,1,NOUN
quartus,0,NOUN
frumentum,0,NOUN
natura,1,NOUN
uenio,1,VERB
usura,1,NOUN
contrarius,1,ADJ
significo,0,VERB
consuetudo,1,NOUN
noceo,1,VERB
incipio,0,VERB
equus,1,NOUN
sentio,1,VERB
pugno,0,VERB
ager,1,NOUN
pactum,1,NOUN
repetitio,1,NOUN
proficiscor,0,VERB
trado,1,VERB
proconsul,1,NOUN
creditor,1,VERB
Stichus,0,NOUN
caveo,1,VERB
teneo,1,VERB
conuenio,0,VERB
commode,0,NOUN
condicio,1,VERB
accipio,1,VERB
vitium,1,NOUN
binus,0,ADJ
computo,1,VERB
socius,1,NOUN
loquor,0,VERB
iudicatum,1,NOUN
praemium,0,NOUN
concedo,1,VERB
tribunal,1,NOUN
turpis,1,NOUN
honestus,1,NOUN
procurator,1,VERB
exemplum,1,NOUN
iurisdictio,1,NOUN
suscipio,1,VERB
legatarius,1,ADJ
remaneo,0,VERB
pertineo,0,VERB
potestas,1,NOUN
retineo,1,VERB
senatus,1,NOUN
transfero,1,VERB
Papius,0,NOUN
redeo,1,VERB
familiaris,0,ADJ
idoneus,1,NOUN
modus,1,NOUN
pretium,1,NOUN
nouus,0,NOUN
nego,1,VERB
iniuria,1,NOUN
adversarius,1,ADJ
sustineo,1,VERB
intersum,1,VERB
scio,1,VERB
amicitia,1,NOUN
momentum,1,NOUN
stipulor,1,VERB
coepi,0,VERB
nomen,1,NOUN
repono,0,VERB
verbum,1,NOUN
consumo,1,VERB
duplex,0,NOUN
doceo,0,VERB
adicio,1,VERB
aedificium,1,NOUN
necessarius,1,ADJ
deinceps,0,NOUN
improbo,1,VERB
annuus,0,NOUN
consisto,1,VERB
marcellus,0,NOUN
conductor,1,VERB
transeo,1,VERB
sumo,1,VERB
duco,1,VERB
excito,0,VERB
tueor,1,VERB
fructuarius,1,ADJ
patientia,1,NOUN
domus,0,NOUN
detrimentum,1,NOUN
primus,0,NOUN
posterus,1,NOUN
possideo,1,VERB
ignoro,1,VERB
munus,1,NOUN
vivo,0,VERB
ample,0,NOUN
pater,1,NOUN
caueo,1,VERB
opinio,1,VERB
totus,0,NOUN
instituo,1,VERB
militaris,1,ADJ
neuter,0,NOUN
traditio,1,NOUN
uerbum,1,NOUN
defungo,0,VERB
spatium,1,NOUN
uideo,0,VERB
usus,1,NOUN
locus,1,NOUN
labor,0,VERB
publicus,1,ADJ
fortis,0,NOUN
fraus,1,NOUN
impensa,1,NOUN
digestum,1,NOUN
concilio,1,VERB
possessio,1,NOUN
municipium,1,NOUN
actio,1,NOUN
administratio,1,NOUN
via,1,NOUN
fortuna,0,NOUN
cibarium,0,NOUN
administro,1,VERB
iussus,1,NOUN
adulescens,1,NOUN
furiosus,1,ADJ
eo,0,NOUN
confirmo,1,VERB
interpono,1,VERB
opus,1,NOUN
existimo,0,VERB
restituo,1,VERB
vita,0,NOUN
morior,0,VERB
undecimus,0,NOUN
exsisto,1,VERB
insula,1,NOUN
valeo,1,VERB
audio,1,VERB
perago,1,VERB
aquilius,0,NOUN
singulus,0,NOUN
longus,1,NOUN
extraho,0,VERB
societas,1,NOUN
utor,1,VERB
vindico,1,VERB
institutio,1,NOUN
auctoritas,1,NOUN
nuptiae,1,NOUN
stipulatio,1,NOUN
Trebellianus,0,ADJ
medius,0,NOUN
exceptio,1,NOUN
quaestio,1,NOUN
permitto,1,VERB
aetas,0,NOUN
transactio,1,NOUN
urbs,1,NOUN
praesum,1,NOUN
petitio,1,NOUN
intermitto,1,VERB
parvus,0,NOUN
decimus,0,NOUN
legio,0,VERB
servitus,1,NOUN
admodum,0,NOUN
Falcidia,0,NOUN
consentio,1,NOUN
quinque,0,NOUN
liberi,1,NOUN
solidus,0,NOUN
procedo,1,VERB
vestimentum,0,NOUN
delibero,1,VERB
servo,1,VERB
mucius,0,NOUN
iuro,1,VERB
desidero,1,VERB
eligo,1,VERB
fero,1,VERB
imperator,1,VERB
causa,1,NOUN
noxa,1,NOUN
suspectus,1,NOUN
laboro,0,VERB
emptor,1,VERB
par,0,NOUN
summoveo,1,VERB
scribo,1,VERB
muto,0,VERB
praetorius,1,ADJ
stipulao,0,VERB
dominus,1,NOUN
pars,1,NOUN
facilis,0,ADJ
digesto,0,VERB
promitto,1,VERB
poena,1,NOUN
amitto,1,VERB
reliquus,1,NOUN
sors,1,NOUN
compleo,1,VERB
subicio,1,VERB
tutela,1,NOUN
legatum,1,NOUN
pupillaris,1,ADJ
relinquo,1,VERB
deditio,1,NOUN
naturalis,1,ADJ
petitor,1,VERB
scelus,1,NOUN
distraho,1,VERB
gratia,1,NOUN
manumitto,1,VERB
misericordia,0,NOUN
mancipium,1,NOUN
efficio,1,VERB
necessitudo,0,NOUN
longinquus,0,NOUN
exigo,1,VERB
beneficium,1,NOUN
peculium,1,NOUN
ratio,1,NOUN
incertus,1,NOUN
civilis,1,ADJ
tempestas,0,NOUN
postulo,1,VERB
renuntio,1,NOUN
legatus,1,NOUN
nonus,0,NOUN
testamentum,1,NOUN
desero,1,VERB
uir,1,NOUN
mora,1,NOUN
appareo,1,VERB
venditor,1,VERB
curo,1,VERB
matrimonium,1,NOUN
pignus,1,NOUN
corpus,1,NOUN
video,1,VERB
iungo,1,VERB
refero,1,VERB
epitoma,1,NOUN
arbitrium,1,NOUN
expono,1,VERB
cedo,1,VERB
possessor,1,VERB
intellego,1,VERB
appellatio,1,NOUN
pecunia,1,NOUN
fideiussor,1,VERB
excuso,1,VERB
infero,1,VERB
pervenerit,1,NOUN
rescribo,1,VERB
pono,1,VERB
damno,1,VERB
initium,0,NOUN
regio,1,VERB
vinum,0,NOUN
libertus,1,NOUN
salus,1,NOUN
dimitto,1,VERB
magnus,0,NOUN
consto,1,VERB
liber,1,NOUN
pronuntio,1,NOUN
bellum,1,NOUN
damnum,1,NOUN
experior,1,VERB
uucdragesimus,0,NOUN
uoco,1,VERB
digestus,0,NOUN
legitimus,1,NOUN
veno,0,VERB
genus,0,NOUN
populus,1,NOUN
cogo,1,VERB
certamen,0,NOUN
excusatio,1,NOUN
pupillus,1,NOUN
maritus,1,NOUN
mulier,1,NOUN
mors,0,NOUN
remitto,1,VERB
prosequor,0,VERB
volo,1,VERB
dignitas,1,NOUN
alieno,1,VERB
sex,0,NOUN
tertius,0,NOUN
praesentia,1,NOUN
divisio,1,NOUN
littera,1,NOUN
condictio,1,NOUN
pendo,1,VERB
lis,1,NOUN
condemno,1,VERB
scriptura,1,NOUN
religio,1,VERB
iudico,1,VERB
restitutio,1,NOUN
dico,1,VERB
excedo,1,VERB
nepos,0,NOUN
statuo,1,VERB
finis,1,NOUN
imperium,1,NOUN
servio,0,VERB
inuenio,1,VERB
propono,1,VERB
singularis,1,ADJ
tantus,0,NOUN
augeo,1,VERB
introduco,1,VERB
Iulius,0,NOUN
difficilis,0,ADJ
obtempero,1,VERB
successor,1,VERB
familia,1,NOUN
exheredo,1,VERB
consilium,1,NOUN
tutus,1,NOUN
defendo,1,VERB
repeto,1,VERB
cohors,0,NOUN
trebatius,0,NOUN
eiusmodi,0,NOUN
ineo,1,VERB
nuntius,1,NOUN
creditos,1,NOUN
aedifico,1,VERB
uxor,1,VERB
animus,1,NOUN
moror,1,VERB
passus,0,NOUN
demonstro,1,VERB
uestigium,0,NOUN
exercitus,0,NOUN
iusiurandum,1,NOUN
forum,1,NOUN
duplus,1,NOUN
dono,1,VERB
conspicio,0,VERB
necessario,0,VERB
facio,1,VERB
praefectus,1,NOUN
novus,1,ADJ
ultro,0,VERB
dimidius,1,NOUN
meritum,0,NOUN
provincia,1,NOUN
exeo,0,VERB
gero,1,VERB
impar,0,NOUN
compromissum,1,NOUN
consultum,1,NOUN
cassius,0,NOUN
instrumentum,1,NOUN
eaio,0,VERB
debitum,1,NOUN
postumus,1,NOUN
tempus,1,NOUN
praesto,1,VERB
uolo,0,VERB
multo,1,VERB
custodio,1,VERB
dissimulo,1,VERB
contra,0,NOUN
navis,1,NOUN
tribunus,1,NOUN
villa,0,NOUN
habitatio,1,NOUN
inimicitia,0,NOUN
confestim,0,NOUN
hypotheca,1,NOUN
alimentum,1,NOUN
accedo,1,VERB
ambo,0,VERB
publice,0,NOUN
urcgesimus,0,NOUN
discedo,1,VERB
proximus,1,NOUN
commodo,1,VERB
materia,1,NOUN
centurio,0,VERB
sufficio,0,VERB
tutor,1,VERB
colloco,1,VERB
patrimonium,1,NOUN
intervenio,1,VERB
iniquus,1,NOUN
furtum,1,NOUN
ictus,0,NOUN
expedio,1,VERB
superior,0,VERB
subeo,1,VERB
edictum,1,NOUN
inofficiosus,1,ADJ
gaius,0,NOUN
condico,1,VERB
debeo,1,VERB
clam,1,NOUN
mortuo,0,VERB
libero,1,VERB
venditio,1,NOUN
paciscor,1,VERB
queror,1,VERB
consequor,1,VERB
Falcidius,0,NOUN
constituo,1,VERB
silentium,0,NOUN
octauus,0,NOUN
uia,1,NOUN
percipio,1,VERB
factum,1,NOUN
repudio,1,VERB
subvenio,1,VERB
inimicus,0,ADJ
praetereo,1,VERB
honor,1,VERB
praeiudicium,1,NOUN
depono,1,VERB
integer,0,NOUN
deterus,0,NOUN
explico,0,VERB
observo,0,VERB
gestum,1,NOUN
culpa,1,NOUN
dotalis,1,ADJ
soleo,0,VERB
produco,1,VERB
spons,1,NOUN
licet,1,NOUN
parco,1,VERB
contineo,1,VERB
extraneus,1,NOUN
homo,1,VERB
incendium,0,NOUN
amicus,0,NOUN
praeses,1,NOUN
aedes,?,NOUN
memoria,0,NOUN
partus,1,NOUN
dirimo,1,VERB
persequor,1,VERB
supplicium,1,NOUN
respondeo,1,VERB
mutuus,1,NOUN
impubes,1,NOUN
heredus,0,NOUN
peto,1,VERB
aequus,1,NOUN
aqua,1,NOUN
miles,0,NOUN
concipio,1,VERB
existimatio,0,NOUN
adquiro,1,VERB
plebs,1,NOUN
diuersus,0,NOUN
exhibeo,1,VERB
substituo,1,VERB
solvo,1,VERB
trigesimus,0,ADJ
fiducia,1,NOUN
venio,0,VERB
offero,1,VERB
conventio,1,NOUN
salvus,1,NOUN
evenio,0,VERB
perficio,1,VERB
dubito,1,VERB
vi,0,NOUN
vestis,1,NOUN
solum,1,NOUN
puto,1,VERB
multus,0,NOUN
libertas,1,NOUN
periculum,1,NOUN
vivus,0,ADJ
duo,0,VERB
tollo,1,VERB
evictio,1,NOUN
inquam,1,NOUN
perfero,1,VERB
flumen,1,NOUN
eripio,1,VERB
cesso,1,VERB
filius,1,NOUN
contesto,1,VERB
fio,1,VERB
vendo,1,VERB
res,1,NOUN
recito,1,VERB
portio,1,NOUN
mens,1,NOUN
absolvo,1,VERB
competo,1,VERB
nullus,1,NOUN
merx,1,NOUN
monumentum,1,NOUN
legao,0,VERB
ius,1,NOUN
auxilium,1,NOUN
rogo,1,VERB
indebitus,1,NOUN
lego,1,VERB
deceseo,0,VERB
coheres,1,NOUN
numerus,0,NOUN
latus,0,NOUN
tribuo,1,VERB
remoueo,1,VERB
imputo,1,VERB
paruus,0,NOUN
nihilum,0,NOUN
pignus,1,NOUN
servus,1,NOUN
redigo,1,VERB
edico,1,VERB
accido,0,VERB
occasio,0,NOUN
patronus,1,NOUN
secundus,0,ADJ
mensis,1,ADJ
debitor,1,VERB
rescriptum,1,NOUN
prior,0,VERB
perfidia,0,NOUN
noxalis,1,ADJ
abduco,1,VERB
tenebio,0,VERB
dolus,1,NOUN
impetro,1,VERB
alias,0,NOUN
praetor,1,VERB
emptio,1,NOUN
creditor,1,VERB
ignominia,1,NOUN
oppono,1,VERB
summa,0,NOUN
